test_type,topic,level,question,option_a,option_b,option_c,option_d,answer,source
technical,Algorithms,hard,What is approximation algorithm?,Exact solution in less time,Near-optimal solution for NP problems,Heuristic without guarantee,Exponential time solution,Near-optimal solution for NP problems,geeksforgeeks
technical,Algorithms,hard,Ford-Fulkerson algorithm computes?,Shortest path,Maximum flow,MST,Topological sort,Maximum flow,geeksforgeeks
technical,Algorithms,easy,What is space complexity?,Memory used by algorithm,Time taken,Number of steps,Number of variables,Memory used by algorithm,geeksforgeeks
technical,Algorithms,easy,Big O notation represents?,Exact time,Upper bound on time,Lower bound,Average case,Upper bound on time,geeksforgeeks
technical,Algorithms,medium,What is stable sort?,Preserves relative order of equal elements,Sorts descending,Sorts integers only,Fastest sort,Preserves relative order of equal elements,geeksforgeeks
technical,Algorithms,medium,Which is NOT comparison-based sort?,Quick,Merge,Radix,Heap,Radix,geeksforgeeks
technical,Algorithms,easy,Insertion sort best case time complexity?,O(n^2),O(n log n),O(n),O(1),O(n),geeksforgeeks
technical,Algorithms,medium,What is tail recursion?,Recursive call is last operation,First call,Middle call,No base case,Recursive call is last operation,geeksforgeeks
technical,Algorithms,hard,What is external sorting?,Sorting data on disk,Sorting externally visible data,Sorting external API data,Sorting with extra memory,Sorting data on disk,geeksforgeeks
technical,Algorithms,easy,Which algorithm uses stack internally?,BFS,DFS,Dijkstra,Prim,DFS,geeksforgeeks
technical,Algorithms,medium,Time complexity of topological sort?,O(V+E),O(V^2),O(E log V),O(V log V),O(V+E),geeksforgeeks
technical,Algorithms,hard,What is branch and bound technique used for?,Sorting,Optimization problems,String matching,Graph coloring,Optimization problems,geeksforgeeks
technical,DBMS,easy,Which SQL command retrieves data?,INSERT,SELECT,UPDATE,DELETE,SELECT,geeksforgeeks
technical,DBMS,easy,Primary key allows NULL values?,Yes,No,Sometimes,Depends on DB,No,geeksforgeeks
technical,DBMS,easy,Full form of DBMS?,Data Byte Management System,Data Base Management System,Data Base Monitoring System,None,Data Base Management System,geeksforgeeks
technical,DBMS,easy,What is a foreign key?,Primary key of same table,Key referencing primary key of another table,Unique key,Composite key,Key referencing primary key of another table,geeksforgeeks
technical,DBMS,easy,Which SQL clause is used to filter rows?,HAVING,GROUP BY,WHERE,ORDER BY,WHERE,geeksforgeeks
technical,DBMS,easy,What does DISTINCT keyword do in SQL?,Remove duplicates,Sort data,Filter nulls,Group data,Remove duplicates,geeksforgeeks
technical,DBMS,easy,Which SQL command adds new row?,INSERT,ADD,CREATE,PUT,INSERT,geeksforgeeks
technical,DBMS,easy,What is a view in SQL?,Physical table,Virtual table based on query,Index,Stored procedure,Virtual table based on query,geeksforgeeks
technical,DBMS,easy,Which join returns all records from left table?,INNER JOIN,RIGHT JOIN,LEFT JOIN,FULL JOIN,LEFT JOIN,geeksforgeeks
technical,DBMS,easy,What does SQL stand for?,Structured Query Language,Simple Query Language,Sequential Query Language,Standard Query Language,Structured Query Language,geeksforgeeks
technical,DBMS,medium,Which SQL clause filters groups?,WHERE,HAVING,GROUP BY,ORDER BY,HAVING,geeksforgeeks
technical,DBMS,medium,ACID stands for?,Atomicity Consistency Isolation Durability,Auto Consistency Index Data,Atomic Concurrent Isolation Durability,None,Atomicity Consistency Isolation Durability,geeksforgeeks
technical,DBMS,medium,Which normal form removes transitive dependency?,1NF,2NF,3NF,BCNF,3NF,geeksforgeeks
technical,DBMS,medium,What is a deadlock in DBMS?,Two processes waiting indefinitely,Slow query,Data corruption,Connection error,Two processes waiting indefinitely,geeksforgeeks
technical,DBMS,medium,What is indexing in database?,Sorting data,Data structure to speed up queries,Creating backups,Joining tables,Data structure to speed up queries,geeksforgeeks
technical,DBMS,medium,Difference between DELETE and TRUNCATE?,DELETE is slower TRUNCATE is faster and non-rollback,Both same,DELETE is faster,TRUNCATE can be rolled back,DELETE is slower TRUNCATE is faster and non-rollback,geeksforgeeks
technical,DBMS,medium,What is a stored procedure?,SQL query,Pre-compiled SQL stored in DB,View,Index,Pre-compiled SQL stored in DB,geeksforgeeks
technical,DBMS,medium,Which type of JOIN returns matching records from both tables?,INNER JOIN,LEFT JOIN,RIGHT JOIN,CROSS JOIN,INNER JOIN,geeksforgeeks
technical,DBMS,medium,What is ER diagram?,Entity Relationship diagram,Error Report diagram,Execution Route diagram,None,Entity Relationship diagram,geeksforgeeks
technical,DBMS,medium,What is a trigger in DBMS?,SQL command,Auto-executed procedure on DB event,Index type,View type,Auto-executed procedure on DB event,geeksforgeeks
technical,DBMS,hard,What is two-phase locking?,Lock all then unlock all,Growing phase then shrinking phase,Random locking,No locking,Growing phase then shrinking phase,geeksforgeeks
technical,DBMS,hard,What is CAP theorem?,Consistency Availability Partition tolerance tradeoff,Three ACID properties,Three types of joins,Three normal forms,Consistency Availability Partition tolerance tradeoff,geeksforgeeks
technical,DBMS,hard,What is a B+ tree index?,Binary tree,Tree where all data is in leaves,Hash index,Linear index,Tree where all data is in leaves,geeksforgeeks
technical,DBMS,hard,What is serializability in transactions?,Executing serially,Concurrent execution equivalent to serial,Rollback support,Isolation,Concurrent execution equivalent to serial,geeksforgeeks
technical,DBMS,hard,What is MVCC in databases?,Multi Version Concurrency Control,Multiple Value Cache Control,Main Version Copy Control,None,Multi Version Concurrency Control,geeksforgeeks
technical,DBMS,hard,What is data partitioning?,Splitting database vertically only,Dividing data across multiple storage units,Replicating data,Joining tables,Dividing data across multiple storage units,geeksforgeeks
technical,DBMS,hard,What is difference between clustered and non-clustered index?,Clustered reorders physical data non-clustered doesn't,Both same,Non-clustered reorders physical,Clustered is slower,Clustered reorders physical data non-clustered doesn't,geeksforgeeks
technical,DBMS,hard,What is eventual consistency?,Immediate consistency,System becomes consistent over time,Never consistent,Strict consistency,System becomes consistent over time,geeksforgeeks
technical,DBMS,hard,What is a materialized view?,Regular view,View with stored query results,View with triggers,Empty view,View with stored query results,geeksforgeeks
technical,DBMS,hard,Boyce-Codd Normal Form (BCNF) is stronger than?,1NF,2NF,3NF,4NF,3NF,geeksforgeeks
technical,DBMS,easy,What is NULL in SQL?,Zero,Empty string,Unknown or missing value,False,Unknown or missing value,geeksforgeeks
technical,DBMS,easy,Which SQL function counts rows?,SUM(),COUNT(),AVG(),MAX(),COUNT(),geeksforgeeks
technical,DBMS,medium,What is referential integrity?,Foreign key must match primary key,Primary key must be unique,All keys must be same type,Tables must be normalized,Foreign key must match primary key,geeksforgeeks
technical,DBMS,medium,What does ROLLBACK do in SQL?,Save transaction,Undo transaction,Commit changes,Create savepoint,Undo transaction,geeksforgeeks
technical,DBMS,easy,Which SQL keyword removes table?,DELETE,DROP,REMOVE,ERASE,DROP,geeksforgeeks
technical,DBMS,medium,What is difference between UNION and UNION ALL?,UNION removes duplicates UNION ALL keeps all,UNION ALL removes duplicates,Both same,UNION is faster,UNION removes duplicates UNION ALL keeps all,geeksforgeeks
technical,DBMS,hard,What is a phantom read in transactions?,Reading deleted data,Reading data that appeared due to another transaction,Reading wrong data,Reading no data,Reading data that appeared due to another transaction,geeksforgeeks
technical,DBMS,easy,Which clause sorts result in SQL?,GROUP BY,ORDER BY,SORT BY,ARRANGE BY,ORDER BY,geeksforgeeks
technical,DBMS,medium,What is a composite key?,Single primary key,Primary key with multiple columns,Foreign key,Unique key with multiple columns,Primary key with multiple columns,geeksforgeeks
technical,DBMS,hard,What is lock granularity?,Type of lock,Size of data unit being locked,Lock speed,Lock queue,Size of data unit being locked,geeksforgeeks
technical,Networking,easy,HTTP default port?,21,22,80,443,80,geeksforgeeks
technical,Networking,easy,DNS converts?,IP to MAC,Domain name to IP,IP to Domain,MAC to IP,Domain name to IP,geeksforgeeks
technical,Networking,easy,Full form of IP?,Internet Protocol,Internal Protocol,Internet Port,Internal Path,Internet Protocol,geeksforgeeks
technical,Networking,easy,Which protocol is used for email sending?,SMTP,POP3,IMAP,FTP,SMTP,geeksforgeeks
technical,Networking,easy,What does WWW stand for?,World Wide Web,World Width Web,Wide World Web,World Web Wire,World Wide Web,geeksforgeeks
technical,Networking,easy,What is a router?,Connects devices in LAN,Connects different networks,Amplifies signal,Converts analog to digital,Connects different networks,geeksforgeeks
technical,Networking,easy,HTTPS uses which port?,80,8080,443,22,443,geeksforgeeks
technical,Networking,easy,What is MAC address?,IP address version,Physical hardware address,Domain name,Port number,Physical hardware address,geeksforgeeks
technical,Networking,easy,Which device broadcasts to all devices in network?,Hub,Switch,Router,Bridge,Hub,geeksforgeeks
technical,Networking,easy,What is bandwidth?,Speed of internet,Maximum data transfer rate,Frequency of signal,Network size,Maximum data transfer rate,geeksforgeeks
technical,Networking,medium,Which OSI layer handles routing?,Physical,Data Link,Network,Transport,Network,geeksforgeeks
technical,Networking,medium,Which protocol is connectionless?,TCP,FTP,UDP,HTTP,UDP,geeksforgeeks
technical,Networking,medium,What is subnetting used for?,Increase bandwidth,Divide large network,Encrypt data,Compress data,Divide large network,geeksforgeeks
technical,Networking,medium,What is the difference between TCP and UDP?,TCP is reliable UDP is not,UDP is reliable TCP is not,Both reliable,Both unreliable,TCP is reliable UDP is not,geeksforgeeks
technical,Networking,medium,What is a firewall?,Antivirus,Network security system,Router type,Switch type,Network security system,geeksforgeeks
technical,Networking,medium,How many layers in OSI model?,5,6,7,8,7,geeksforgeeks
technical,Networking,medium,What is NAT in networking?,Network Address Translation,Network Access Terminal,Normal Address Transfer,None,Network Address Translation,geeksforgeeks
technical,Networking,medium,Which layer of OSI is responsible for end-to-end communication?,Network,Transport,Session,Application,Transport,geeksforgeeks
technical,Networking,medium,What is ARP protocol?,Translates domain to IP,Translates IP to MAC,Translates MAC to IP,Assigns IP addresses,Translates IP to MAC,geeksforgeeks
technical,Networking,medium,What is a VPN?,Virtual Private Network,Very Private Node,Virtual Port Network,None,Virtual Private Network,geeksforgeeks
technical,Networking,hard,What is BGP protocol?,Border Gateway Protocol,Byte Gateway Protocol,Basic Gateway Protocol,None,Border Gateway Protocol,geeksforgeeks
technical,Networking,hard,What is DHCP?,Dynamic Host Configuration Protocol,Dynamic Host Connection Protocol,Data Host Configuration Protocol,None,Dynamic Host Configuration Protocol,geeksforgeeks
technical,Networking,hard,What is difference between latency and bandwidth?,Same thing,Latency is delay bandwidth is rate,Bandwidth is delay latency is rate,Both measure speed,Latency is delay bandwidth is rate,geeksforgeeks
technical,Networking,hard,What is STP in networking?,Shortest path,Spanning Tree Protocol,Secure Transfer Protocol,None,Spanning Tree Protocol,geeksforgeeks
technical,Networking,hard,What is a DMZ in network security?,Demilitarized Zone,Data Management Zone,Dynamic Memory Zone,None,Demilitarized Zone,geeksforgeeks
technical,Networking,hard,What is CDN?,Content Delivery Network,Central Data Node,Core Distributed Network,None,Content Delivery Network,geeksforgeeks
technical,Networking,hard,What is the difference between symmetric and asymmetric encryption?,Same key vs different keys,Speed difference,Length difference,Both use public key,Same key vs different keys,geeksforgeeks
technical,Networking,hard,What is a zero-day vulnerability?,Known vulnerability,Unknown vulnerability being exploited,Old vulnerability,Patched vulnerability,Unknown vulnerability being exploited,geeksforgeeks
technical,Networking,hard,What is MPLS?,Multiprotocol Label Switching,Multiple Protocol Layer System,Main Protocol Link System,None,Multiprotocol Label Switching,geeksforgeeks
technical,Networking,hard,What is anycast routing?,One-to-many,One-to-nearest,One-to-one,Many-to-many,One-to-nearest,geeksforgeeks
technical,Networking,easy,What is an IP address?,Website name,Unique identifier for device on network,Email address,Password,Unique identifier for device on network,geeksforgeeks
technical,Networking,easy,Which protocol is used for file transfer?,HTTP,FTP,SMTP,DNS,FTP,geeksforgeeks
technical,Networking,medium,What is full form of TCP?,Transmission Control Protocol,Transfer Control Protocol,Terminal Control Protocol,None,Transmission Control Protocol,geeksforgeeks
technical,Networking,medium,Private IP ranges include?,10.0.0.0-10.255.255.255,200.0.0.0-200.255.0.0,8.8.8.0-8.8.8.255,50.0.0.0-50.255.255.255,10.0.0.0-10.255.255.255,geeksforgeeks
technical,Networking,easy,What does LAN stand for?,Local Area Network,Large Area Network,Linked Area Network,None,Local Area Network,geeksforgeeks
technical,Networking,medium,What is ping command used for?,Send email,Test network connectivity,Transfer files,Check disk,Test network connectivity,geeksforgeeks
technical,Networking,hard,What is ICMP protocol mainly used for?,File transfer,Error messages and network diagnostics,Encryption,Routing,Error messages and network diagnostics,geeksforgeeks
technical,Networking,easy,What is a switch in networking?,Connects different networks,Connects devices and sends to specific MAC,Amplifies signal,Assigns IP,Connects devices and sends to specific MAC,geeksforgeeks
technical,Networking,medium,What is port 22 used for?,HTTP,FTP,SSH,SMTP,SSH,geeksforgeeks
technical,Networking,hard,What is link state routing protocol example?,RIP,OSPF,BGP,EIGRP,OSPF,geeksforgeeks
technical,OOP,easy,Which OOP concept hides internal details?,Inheritance,Polymorphism,Encapsulation,Abstraction,Encapsulation,geeksforgeeks
technical,OOP,easy,Child class inheriting parent class is called?,Polymorphism,Encapsulation,Inheritance,Abstraction,Inheritance,geeksforgeeks
technical,OOP,easy,Method overriding is example of?,Compile-time polymorphism,Runtime polymorphism,Encapsulation,Inheritance,Runtime polymorphism,geeksforgeeks
technical,OOP,easy,What is a constructor?,Method called on object destruction,Method called on object creation,Static method,Private method,Method called on object creation,geeksforgeeks
technical,OOP,easy,What is abstract class?,Class with no methods,Class with at least one abstract method,Class with only static methods,Final class,Class with at least one abstract method,geeksforgeeks
technical,OOP,easy,What is an interface in OOP?,Class with implementations,Contract with only method signatures,Concrete class,Static class,Contract with only method signatures,geeksforgeeks
technical,OOP,easy,What is object in OOP?,Template/blueprint,Instance of a class,Static method,Module,Instance of a class,geeksforgeeks
technical,OOP,easy,What is class in OOP?,Instance,Object,Blueprint/template for objects,Module,Blueprint/template for objects,geeksforgeeks
technical,OOP,easy,Which modifier makes method accessible only within class?,public,protected,private,default,private,geeksforgeeks
technical,OOP,easy,What is IS-A relationship?,Composition,Inheritance,Association,Aggregation,Inheritance,geeksforgeeks
technical,OOP,medium,Method overloading is example of?,Runtime polymorphism,Compile-time polymorphism,Inheritance,Abstraction,Compile-time polymorphism,geeksforgeeks
technical,OOP,medium,What is difference between abstract class and interface?,Abstract can have implementations interface cannot (before Java 8),Both same,Interface can have implementations,Abstract cannot have constructors,Abstract can have implementations interface cannot (before Java 8),geeksforgeeks
technical,OOP,medium,What is multiple inheritance?,One class inheriting from many,Many classes one parent,One-to-one,None,One class inheriting from many,geeksforgeeks
technical,OOP,medium,What is diamond problem in OOP?,Problem with circular inheritance,Ambiguity in multiple inheritance,Memory issue,Compilation error,Ambiguity in multiple inheritance,geeksforgeeks
technical,OOP,medium,What is HAS-A relationship?,Inheritance,Composition,Polymorphism,Abstraction,Composition,geeksforgeeks
technical,OOP,medium,What is method hiding vs method overriding?,Hiding is static methods overriding is instance methods,Both same,Overriding is static,Hiding is instance,Hiding is static methods overriding is instance methods,geeksforgeeks
technical,OOP,medium,What is the purpose of 'super' keyword?,Access current class,Access parent class,Create object,Static method,Access parent class,geeksforgeeks
technical,OOP,medium,What is operator overloading?,Using same operator for different types,Creating new operators,Inheriting operators,None,Using same operator for different types,geeksforgeeks
technical,OOP,medium,What is covariant return type?,Returning different type than parent,Returning same or subtype as parent,Returning null,Returning void,Returning same or subtype as parent,geeksforgeeks
technical,OOP,medium,What is coupling in OOP?,Degree of dependency between classes,Speed of execution,Number of methods,Memory usage,Degree of dependency between classes,geeksforgeeks
technical,OOP,hard,Which design pattern ensures single instance of class?,Factory,Observer,Singleton,Decorator,Singleton,geeksforgeeks
technical,OOP,hard,What is Observer design pattern?,One class inherits another,One object notifies many dependents of state change,Creating objects,Encapsulating algorithms,One object notifies many dependents of state change,geeksforgeeks
technical,OOP,hard,What is Factory design pattern?,Creates objects without specifying exact class,Ensures single instance,Adds behavior dynamically,Defines algorithm skeleton,Creates objects without specifying exact class,geeksforgeeks
technical,OOP,hard,What is Decorator pattern?,Inheritance of class,Adds behavior to object dynamically,Creates single instance,Notifies observers,Adds behavior to object dynamically,geeksforgeeks
technical,OOP,hard,What is SOLID principles?,5 OOP design principles,3 design patterns,Database principles,Security principles,5 OOP design principles,geeksforgeeks
technical,OOP,hard,What is Liskov Substitution Principle?,Subclass should be replaceable for parent class,All methods public,No inheritance,Only interfaces,Subclass should be replaceable for parent class,geeksforgeeks
technical,OOP,hard,What is Dependency Injection?,Hardcoding dependencies,Injecting dependencies from outside,Creating objects inside class,Static dependencies,Injecting dependencies from outside,geeksforgeeks
technical,OOP,hard,What is the difference between Strategy and State pattern?,Strategy selects algorithm State changes behavior based on state,Both same,State selects algorithm,No difference,Strategy selects algorithm State changes behavior based on state,geeksforgeeks
technical,OOP,hard,What is cohesion in software design?,Low coupling,High degree of relatedness within a module,Number of classes,Speed of code,High degree of relatedness within a module,geeksforgeeks
technical,OOP,hard,What is Law of Demeter?,Each unit should have limited knowledge,Maximum inheritance,All methods public,Static classes only,Each unit should have limited knowledge,geeksforgeeks
technical,OOP,easy,What is polymorphism?,Many forms of single entity,Same form,One method,Static only,Many forms of single entity,geeksforgeeks
technical,OOP,easy,What is encapsulation?,Binding data and methods together,Only data,Only methods,Inheritance,Binding data and methods together,geeksforgeeks
technical,OOP,medium,What is final keyword in Java/C++?,Variable can change,Prevents inheritance or overriding,Creates object,Allocates memory,Prevents inheritance or overriding,geeksforgeeks
technical,OOP,medium,What is static method?,Method per object,Method shared by all objects,Abstract method,Private method,Method shared by all objects,geeksforgeeks
technical,OOP,easy,What is destructor?,Initializes object,Cleans up before object destroyed,Creates object,Static method,Cleans up before object destroyed,geeksforgeeks
technical,OOP,medium,What is association in OOP?,Objects dependent on each other's existence,Objects using each other,Inheritance,Polymorphism,Objects using each other,geeksforgeeks
technical,OOP,hard,What is Template Method pattern?,Override specific steps of algorithm in subclass,Create objects,Notify observers,Single instance,Override specific steps of algorithm in subclass,geeksforgeeks
technical,OOP,easy,Can interface be instantiated?,Yes,No,Sometimes,Depends,No,geeksforgeeks
technical,OOP,medium,What is Mixin in OOP?,Multiple inheritance mechanism,Type of inheritance,Design pattern,Abstract class,Multiple inheritance mechanism,geeksforgeeks
technical,OOP,hard,What is difference between Proxy and Adapter pattern?,Proxy controls access Adapter converts interface,Both same,Adapter controls access,No difference,Proxy controls access Adapter converts interface,geeksforgeeks
technical,Operating Systems,easy,Which is NOT an OS?,Linux,Windows,Oracle,macOS,Oracle,geeksforgeeks
technical,Operating Systems,easy,What is OS?,Hardware only,Software managing hardware and software resources,Programming language,Database,Software managing hardware and software resources,geeksforgeeks
technical,Operating Systems,easy,What is a process?,Program in execution,Stored program,File,Thread,Program in execution,geeksforgeeks
technical,Operating Systems,easy,What is a thread?,Heavy process,Lightweight process within a process,Independent program,OS component,Lightweight process within a process,geeksforgeeks
technical,Operating Systems,easy,What is virtual memory?,Extra RAM,Using disk as extension of RAM,GPU memory,Cache,Using disk as extension of RAM,geeksforgeeks
technical,Operating Systems,easy,What is a semaphore?,Sorting algorithm,Synchronization primitive,File system,Network protocol,Synchronization primitive,geeksforgeeks
technical,Operating Systems,easy,What does CPU stand for?,Central Processing Unit,Core Processing Unit,Control Processing Unit,Central Program Unit,Central Processing Unit,geeksforgeeks
technical,Operating Systems,easy,What is context switching?,Changing CPU from one process to another,Changing memory,Changing files,Changing threads to processes,Changing CPU from one process to another,geeksforgeeks
technical,Operating Systems,easy,What is deadlock?,Process running too fast,Processes waiting for each other indefinitely,Memory overflow,CPU overload,Processes waiting for each other indefinitely,geeksforgeeks
technical,Operating Systems,easy,What is a scheduler in OS?,Memory allocator,Decides which process runs when,File manager,Network manager,Decides which process runs when,geeksforgeeks
technical,Operating Systems,medium,Deadlock requires which conditions?,Mutual Exclusion only,All 4 Coffman conditions,Only circular wait,Only no preemption,All 4 Coffman conditions,geeksforgeeks
technical,Operating Systems,medium,Which page replacement has least page faults theoretically?,FIFO,LRU,Optimal,LFU,Optimal,geeksforgeeks
technical,Operating Systems,medium,What is thrashing in OS?,CPU doing useful work,Excessive page swapping,Memory leak,Thread starvation,Excessive page swapping,geeksforgeeks
technical,Operating Systems,medium,What is the difference between preemptive and non-preemptive scheduling?,Preemptive can interrupt non-preemptive cannot,Non-preemptive can interrupt,Both same,Preemptive is slower,Preemptive can interrupt non-preemptive cannot,geeksforgeeks
technical,Operating Systems,medium,What is a critical section?,Section of code accessing shared resources,Fastest code,Memory section,CPU register,Section of code accessing shared resources,geeksforgeeks
technical,Operating Systems,medium,What is mutex?,Multiple exclusion,Mutual exclusion locking mechanism,Memory allocator,None,Mutual exclusion locking mechanism,geeksforgeeks
technical,Operating Systems,medium,What is the purpose of page table?,Stores files,Maps virtual to physical addresses,Stores processes,Cache data,Maps virtual to physical addresses,geeksforgeeks
technical,Operating Systems,medium,What is RAID in storage?,Random Access In Disk,Redundant Array of Inexpensive Disks,Rapid Array of Independent Drives,None,Redundant Array of Inexpensive Disks,geeksforgeeks
technical,Operating Systems,medium,What is a zombie process?,Process waiting to be killed,Process that finished but parent not read exit status,Sleeping process,Background process,Process that finished but parent not read exit status,geeksforgeeks
technical,Operating Systems,medium,What is inode in file system?,File name,File metadata structure,Directory,Hard link,File metadata structure,geeksforgeeks
technical,Operating Systems,hard,What is Belady's anomaly?,More frames = fewer page faults always,More frames can increase page faults with FIFO,LRU always optimal,Optimal impossible,More frames can increase page faults with FIFO,geeksforgeeks
technical,Operating Systems,hard,What is difference between process and thread in terms of memory?,Threads share memory processes don't,Processes share memory threads don't,Both share,Neither share,Threads share memory processes don't,geeksforgeeks
technical,Operating Systems,hard,What is priority inversion?,High priority waits for low priority,Low priority preempted,Both same priority,No priorities,High priority waits for low priority,geeksforgeeks
technical,Operating Systems,hard,What is TLB in OS?,Translation Lookaside Buffer,Transfer Layer Buffer,Thread Local Block,None,Translation Lookaside Buffer,geeksforgeeks
technical,Operating Systems,hard,What is the difference between hard and soft real-time systems?,Hard has strict deadlines soft has flexible deadlines,Both have strict deadlines,Soft is stricter,No difference,Hard has strict deadlines soft has flexible deadlines,geeksforgeeks
technical,Operating Systems,hard,What is copy-on-write?,Copy all on create,Copy only when modified,Never copy,Continuous copy,Copy only when modified,geeksforgeeks
technical,Operating Systems,hard,What is hypervisor?,OS component,Software that creates virtual machines,File system,Network driver,Software that creates virtual machines,geeksforgeeks
technical,Operating Systems,hard,What is memory segmentation?,Dividing memory into variable-size segments,Dividing into fixed pages,Random memory access,Memory compression,Dividing memory into variable-size segments,geeksforgeeks
technical,Operating Systems,hard,What is banker's algorithm used for?,Sorting,Deadlock avoidance,Memory allocation,Page replacement,Deadlock avoidance,geeksforgeeks
technical,Operating Systems,hard,What is a spinlock?,Lock that causes waiting by spinning,Heavy mutex,File lock,Network lock,Lock that causes waiting by spinning,geeksforgeeks
technical,Operating Systems,easy,What is multiprogramming?,Running multiple programs simultaneously (interleaved),Running one program,Parallel execution,Distributed computing,Running multiple programs simultaneously (interleaved),geeksforgeeks
technical,Operating Systems,easy,What is a file system?,Manages hardware,Organizes and stores files on disk,Network component,Process scheduler,Organizes and stores files on disk,geeksforgeeks
technical,Operating Systems,medium,What is the purpose of cache memory?,Permanent storage,Fast temporary storage between CPU and RAM,Long-term memory,Virtual memory,Fast temporary storage between CPU and RAM,geeksforgeeks
technical,Operating Systems,medium,What is starvation in OS?,CPU overload,Process never gets CPU time,Memory overflow,Deadlock,Process never gets CPU time,geeksforgeeks
technical,Operating Systems,easy,What does RAM stand for?,Read Access Memory,Random Access Memory,Rapid Access Memory,Read And Memory,Random Access Memory,geeksforgeeks
technical,Operating Systems,medium,What is a system call?,OS function callable by user programs,User function,Hardware instruction,Network call,OS function callable by user programs,geeksforgeeks
technical,Operating Systems,hard,What is preemptive multitasking?,OS can take CPU from process,Process controls when to give up CPU,Only single task,Parallel execution,OS can take CPU from process,geeksforgeeks
technical,Operating Systems,easy,What is the role of kernel in OS?,User interface,Core OS that manages resources,Network manager,Only file management,Core OS that manages resources,geeksforgeeks
technical,Operating Systems,medium,What is swapping in OS?,Replacing damaged data,Moving process from memory to disk temporarily,Network swapping,Thread switching,Moving process from memory to disk temporarily,geeksforgeeks
technical,Operating Systems,hard,What is difference between logical and physical address?,Logical is generated by CPU physical is actual RAM address,Same thing,Physical is generated by CPU,No difference,Logical is generated by CPU physical is actual RAM address,geeksforgeeks
technical,Web Development,easy,Full form of HTML?,Hyper Text Markup Language,High Text Markup Language,Hyper Transfer Markup Language,None,Hyper Text Markup Language,geeksforgeeks
technical,Web Development,easy,CSS stands for?,Cascading Style Sheets,Computer Style Sheets,Colorful Style Sheets,Creative Style Sheets,Cascading Style Sheets,geeksforgeeks
technical,Web Development,easy,Which HTML tag creates hyperlink?,<link>,<href>,<a>,<url>,<a>,geeksforgeeks
technical,Web Development,easy,Which CSS property changes text color?,font-color,text-color,color,foreground,color,geeksforgeeks
technical,Web Development,easy,What does DOM stand for?,Document Object Model,Data Object Model,Document Oriented Model,Dynamic Object Model,Document Object Model,geeksforgeeks
technical,Web Development,easy,Which HTTP method is for retrieving data?,POST,PUT,GET,DELETE,GET,geeksforgeeks
technical,Web Development,easy,What is JavaScript?,Markup language,Styling language,Programming language for web,Database language,Programming language for web,geeksforgeeks
technical,Web Development,easy,What is a cookie in web?,Stored file,Small data stored in browser,Image file,JavaScript function,Small data stored in browser,geeksforgeeks
technical,Web Development,easy,What does API stand for?,Application Programming Interface,Application Process Interface,Automated Programming Interface,None,Application Programming Interface,geeksforgeeks
technical,Web Development,easy,What is responsive design?,Fixed layout,Design adapting to screen size,Fast loading,Animated design,Design adapting to screen size,geeksforgeeks
technical,Web Development,medium,Which HTTP method is used to send data to server?,GET,POST,PUT,DELETE,POST,geeksforgeeks
technical,Web Development,medium,What is REST API?,Real State Transfer,Representational State Transfer,Remote State Transfer,None,Representational State Transfer,geeksforgeeks
technical,Web Development,medium,REST API is stateless means?,Server stores session,Each request is independent,Client stores all,Both store,Each request is independent,geeksforgeeks
technical,Web Development,medium,What is AJAX?,Asynchronous JavaScript And XML,Automatic JavaScript Action,Advanced Java Access,None,Asynchronous JavaScript And XML,geeksforgeeks
technical,Web Development,medium,What is the difference between GET and POST?,GET sends data in URL POST in body,POST sends data in URL GET in body,Both send in URL,Both send in body,GET sends data in URL POST in body,geeksforgeeks
technical,Web Development,medium,What is a session in web applications?,Browser window,Server-side user state storage,Cookie type,URL parameter,Server-side user state storage,geeksforgeeks
technical,Web Development,medium,What is JWT?,Java Web Token,JSON Web Token,Java Wrapper Type,JSON Wrapper Type,JSON Web Token,geeksforgeeks
technical,Web Development,medium,What is CORS?,Cross-Origin Resource Sharing,Cross-Origin Request Security,Create Origin Resource Sharing,None,Cross-Origin Resource Sharing,geeksforgeeks
technical,Web Development,medium,What is the purpose of package.json in Node.js?,Config file with dependencies,CSS file,HTML file,Database config,Config file with dependencies,geeksforgeeks
technical,Web Development,medium,What is difference between localStorage and sessionStorage?,localStorage persists sessionStorage cleared on tab close,Both persist,Both cleared on close,sessionStorage persists,localStorage persists sessionStorage cleared on tab close,geeksforgeeks
technical,Web Development,hard,What is server-side rendering vs client-side rendering?,SSR renders on server CSR renders in browser,Both same,CSR renders on server,No difference,SSR renders on server CSR renders in browser,geeksforgeeks
technical,Web Development,hard,What is WebSocket?,One-way communication,Bi-directional real-time communication,File transfer protocol,Database protocol,Bi-directional real-time communication,geeksforgeeks
technical,Web Development,hard,What is OAuth?,Password protocol,Authorization framework,Encryption standard,Database protocol,Authorization framework,geeksforgeeks
technical,Web Development,hard,What is a microservices architecture?,Single large service,Small independent services,Database architecture,Frontend architecture,Small independent services,geeksforgeeks
technical,Web Development,hard,What is GraphQL?,Database query language,API query language as alternative to REST,HTML version,CSS version,API query language as alternative to REST,geeksforgeeks
technical,Web Development,hard,What is a CDN and why use it?,Central Database Network for speed,Content Delivery Network to reduce latency,Cloud Data Network,None,Content Delivery Network to reduce latency,geeksforgeeks
